Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
A006200072_119962_1	A006200072_119962_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53519175.0	0.0	99.0	49.0	35.43669805416624	99.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
A006200072_119962_2	A006200072_119962_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53519175.0	0.0	98.0	49.0	37.913351860846944	98.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
A006200072_119964_1	A006200072_119964_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50756084.0	0.0	99.0	49.0	36.16951091826461	99.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
A006200072_119964_2	A006200072_119964_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50756084.0	0.0	98.0	49.0	38.7666115279303	98.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
A006200072_119966_1	A006200072_119966_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54895273.0	0.0	99.0	49.0	35.82602039153146	99.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
A006200072_119966_2	A006200072_119966_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54895273.0	0.0	98.0	49.0	38.637761707703405	98.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
A006200072_119968_1	A006200072_119968_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56748168.0	0.0	99.0	49.0	36.04626516450459	99.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
A006200072_119968_2	A006200072_119968_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	56748168.0	0.0	98.0	49.0	38.36081769658187	98.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
A006200072_119970_1	A006200072_119970_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51876916.0	0.0	99.0	49.0	39.57753961765136	99.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
A006200072_119970_2	A006200072_119970_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51876916.0	0.0	98.0	49.0	42.176266892193894	98.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
A006200072_119972_1	A006200072_119972_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	64285396.0	0.0	99.0	49.0	36.500615568273346	99.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	pass
