Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
A006200072_119972	1.3.0	none	vb	[]	1	['ISR']	1001	172.17441672255367	61.58734467155014	True	True	4096	mapping	False	227224	194	932671	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	64285396	54355515	2855849	3753924	4481316	37700101	84.55344196681935	quant	Tue Aug 04 19:27:19 2020	Tue Aug 04 19:34:56 2020
A006200072_119974	1.3.0	none	vb	[]	1	['ISR']	1001	169.92309365041837	61.53869932908369	True	True	4096	mapping	False	227224	194	775921	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	49955584	41654691	2276439	3646292	3718153	31190954	83.38345318913697	quant	Tue Aug 04 19:34:58 2020	Tue Aug 04 19:40:32 2020
A006200072_119976	1.3.0	none	vb	[]	1	['ISR']	1001	172.36124435926314	62.8906598479822	True	True	4096	mapping	False	227224	194	811902	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	53335035	44914232	2330574	3473179	3599186	30215157	84.21149812688789	quant	Tue Aug 04 19:40:34 2020	Tue Aug 04 19:46:59 2020
A006200072_119978	1.3.0	none	vb	[]	1	['ISR']	1001	167.92447463793138	58.26708402811958	True	True	4096	mapping	False	227224	194	815845	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	52452060	44662394	2187189	3522824	3457117	30183171	85.14897984940916	quant	Tue Aug 04 19:47:02 2020	Tue Aug 04 19:52:54 2020
A006200072_119980	1.3.0	none	vb	[]	1	['ISR']	1001	166.06055604612865	59.52985614987871	True	True	4096	mapping	False	227224	194	881361	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	56595529	47626245	2378282	5369929	4237245	38777956	84.15195659713686	quant	Tue Aug 04 19:52:57 2020	Tue Aug 04 20:00:12 2020
A006200072_119982	1.3.0	none	vb	[]	1	['ISR']	1001	172.5016182417403	62.68821368134712	True	True	4096	mapping	False	227224	194	838154	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	49794919	43414385	1853091	3258321	2828040	26098828	87.18637538099017	quant	Tue Aug 04 20:00:14 2020	Tue Aug 04 20:07:36 2020
A006200072_119984	1.3.0	none	vb	[]	1	['ISR']	1001	180.2136492229093	68.03656369410798	True	True	4096	mapping	False	227224	194	790427	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	56882052	49845824	2105203	2999721	3044719	28494700	87.63014386330508	quant	Tue Aug 04 20:07:38 2020	Tue Aug 04 20:13:26 2020
A006200072_119986	1.3.0	none	vb	[]	1	['ISR']	1001	172.44132112689135	62.41701881770293	True	True	4096	mapping	False	227224	194	800697	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	54685785	47953178	1965838	3347447	2974693	27813571	87.6885611132765	quant	Tue Aug 04 20:13:28 2020	Tue Aug 04 20:19:26 2020
A006200072_119988	1.3.0	none	vb	[]	1	['ISR']	1001	173.8360557069899	62.93443635346724	True	True	4096	mapping	False	227224	194	799237	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	60376993	50751967	2802666	3251455	4280467	34472356	84.05845418634877	quant	Tue Aug 04 20:19:28 2020	Tue Aug 04 20:25:52 2020
A006200072_119990	1.3.0	none	vb	[]	1	['ISR']	1001	174.81004880711373	65.682121474909	True	True	4096	mapping	False	227224	194	779241	False	['range_factorized', 'gzipped']	[539, 719, 1197, 2358, 103053]	9d81c5b964748cd0e1f3777911c704acbab760705be451f512f64e1403f45ac9	a81f18e9487c4684c283065b87b70c9edff4b26d56892e957af352919ae7a959	03a14e172fcee6f046f762156bdfc3c5381cf97b809bf5e6a47b27b7d570a2c4ebdf9543f5fc20a0af35df31d04a9c3bc4f864c60bb9037f6bf20d988d9f6344	bc801181afc0282d41ee1483244983026cf992babdc460469af585e49d57c92597577e33cc52a9cc073234c79b701881c05eccf4c4c7482f253cf14105c609eb	b87b7a94564c31d78da407e60a0aeb310b2dbdb398e0ddb39392286aaf2fe88c	5fc84a462ccf4735efdc48604a520ee47e1319156c2a5c252f5daba1e99bb401	0	50056381	41843009	2338377	3192832	3695860	30054269	83.5917582615491	quant	Tue Aug 04 20:25:55 2020	Tue Aug 04 20:33:34 2020
